name,etymology_wikidata_ids,etymology_text,highway_types,osm_way_count
Calle de Ana de Austria,Q156657,,residential,16
Calle de Andalucía,Q5783,,residential,1
Calle de Andrés Borrego,Q5675607,,living_street,1
Calle de Andrés Mellado,Q5675946,,residential,2
Calle de Andrés Torrejón,Q5695435,,residential,3
Calle de Andrés de Urdaneta,Q316780,,residential,1
Calle de Anselmo Lorenzo,Q174770,,residential,4
Calle de Antequera,Q572041,,tertiary,2
Calle de Antonio Gades,Q561048,,residential,19
Calle de Antonio Maura,Q562489,,residential;tertiary,3
Calle de Antonio Nebrija,Q380804,,residential,1
Calle de Antonio Ponz,Q2857411,,residential,1
Calle de Aquiles,Q41746,,residential,1
Calle de Aquitania,Q1179,,tertiary,4
Calle de Aranjuez,Q486792,,residential,3
Calle de Arapiles,Q708580,,residential,8
Calle de Archidona,Q920126,,residential,1
Calle de Arganda,Q497692,,residential;service,15
Calle de Argumosa,Q5740806,,residential,4
Calle de Arlabán,Q44910881,,residential,1
Calle de Armenteros,Q1651814,,residential;service,7
Calle de Arquímedes,Q8739,,residential,1
Calle de Arturo Soria,Q8255504,,primary;primary_link;residential;service,143
Calle de Arzúa,Q651676,,pedestrian;residential,5
Calle de Astorga,Q465078,,residential,2
Calle de Atocha,Q5492657,,residential;tertiary;tertiary_link,35
Calle de Augusto Figueroa,Q16489206,,pedestrian;residential,2
Calle de Austria,Q40,,residential,1
Calle de Ayala,Q354137,,residential,8
Calle de Azagra,Q1757486,,residential,1
Calle de Azuaga,Q1368982,,residential,3
Calle de Añastro,Q10751118,,residential,2
Calle de Bacares,Q1157977,,residential,6
Calle de Bailén,Q1364346,,footway;living_street;residential;secondary;secondary_link,33
Calle de Baltasar Gracián,Q360512,,residential,2
Calle de Balvina Valverde,Q5717120,,residential,2
Calle de Barbastro,Q502975,,residential,1
Calle de Barcelona,Q27048338,,pedestrian,1
Calle de Barranca,Q2476592,,residential,1
Calle de Batres,Q1647095,,residential,1
Calle de Beasain,Q847130,,residential,1
Calle de Beatriz Galindo,Q1708316,,residential,3
Calle de Beire,Q814864,,residential,1
Calle de Benito Gutiérrez,Q21872966,,residential,2
Calle de Bercial,Q1904737,,residential;steps,2
Calle de Berdún,Q8246625,,residential,3
Calle de Berilo,Q103480,,pedestrian,1
Calle de Bernardino de Pantorba,Q17187077,,residential,2
Calle de Berástegui,Q1639406,,residential,2
Calle de Betancunia,Q830969,,residential,1
Calle de Biosca,Q1901345,,pedestrian;residential,5
Calle de Blasco de Garay,Q881771,,residential,3
Calle de Boadilla del Camino,Q592699,,residential,1
Calle de Boltaña,Q891622,,residential,3
Calle de Bordadores,Q24656602,,living_street;residential,2
Calle de Borgoña,Q1173,,residential,1
Calle de Bravo Murillo,Q200476,,footway;living_street;residential;secondary;service,86
Calle de Bretaña,Q327,,pedestrian;residential,2
Calle de Briviesca,Q1391501,,residential,5
Calle de Bucarest,Q19660,,residential,4
Calle de Budapest,Q1781,,pedestrian;residential,4
Calle de Buitrago de Lozoya,Q1648730,,residential,1
Calle de Burguete,Q5431,,residential,6
Calle de Bélgica,Q31,,pedestrian;residential,5
Calle de Cabanillas de la Sierra,Q1772200,,residential,1
Calle de Calabria,Q1458,,residential,3
Calle de Calasparra,Q1313139,,residential,3
Calle de Caleruega,Q848172,,residential;service,16
Calle de Campotéjar,Q253744,,living_street;residential,7
Calle de Candilejas,Q584509,,residential;tertiary,11
Calle de Caolín,Q908663,,pedestrian,1
Calle de Capri,Q173292,,residential,1
Calle de Carabaña,Q664618,,residential,1
Calle de Caracas,Q1533,,residential,1
Calle de Cardeñuela Riopico,Q946310,,residential,1
Calle de Carlos Arniches,Q1042706,,residential,1
Calle de Carlos II,Q36174,,residential,1
Calle de Carlos III,Q36234,,pedestrian,1
Calle de Carlos Latorre,Q5750704,,residential,1
Calle de Carlos Maurrás,Q3048,,residential,1
Calle de Carmen Cobeña,Q5752487,,pedestrian;residential,3
Calle de Carolina Coronado,Q941605,,residential,3
Calle de Carretas,Q5740952,,pedestrian;residential,2
Calle de Carrión de los Condes,Q986557,,living_street;residential,15
Calle de Cartagena,Q162615,,tertiary,6
Calle de Cartago,Q6343,,residential,3
Calle de Casarabonela,Q1630355,,residential,1
Calle de Casarrubuelos,Q1772185,,residential,1
Calle de Caspe,Q64010,,residential,2
Calle de Castalia,Q170053,,residential,1
Calle de Castelló,Q6068454,,residential,8
Calle de Cavanilles,Q29051443,,residential;tertiary,7
Calle de Cazorla,Q518339,,pedestrian;residential,3
Calle de Cea Bermúdez,Q963367,,primary;residential;tertiary,14
Calle de Cedaceros,Q27051021,,residential;tertiary,6
Calle de Cenicientos,Q685764,,residential,1
Calle de Cestona,Q1618393,,pedestrian;residential,3
Calle de Chantada,Q1447512,,residential,5
Calle de Chipiona,Q741749,,residential,1
Calle de Circe,Q187602,,residential,4
Calle de Cirilo Martínez Novillo,Q5404429,,residential;unclassified,5
Calle de Ciudad Real,Q15093,,residential,3
Calle de Claudio Coello,Q332466,,residential,5
Calle de Cobos de Segovia,Q5775756,,residential,2
Calle de Columela,Q318317,,residential,1
Calle de Colón,Q7322,,living_street,3
Calle de Concepción Arenal,Q671852,,living_street,1
Calle de Copérnico,Q619,,residential,3
Calle de Corella,Q550407,,residential,1
Calle de Corral de Almaguer,Q598148,,residential;service,3
Calle de Cracovia,Q31487,,footway;residential,3
Calle de Crevillente,Q1616611,,residential,1
Calle de Cristóbal Bordiú,Q22962489,,residential,2
Calle de Cuchilleros,Q29005894,,residential,1
Calle de Cuevas Bajas,Q1630277,,residential,1
Calle de Cuevas del Almanzora,Q1048762,,residential,11
Calle de Cáceres,Q15678,,residential,4
Calle de Cádiz,Q15682,,pedestrian,1
Calle de Cástor y Pólux,Q190103,,residential,3
Calle de Daniel Vázquez Díaz,Q963123,,residential;tertiary;tertiary_link,8
Calle de Denia,Q646725,,residential,1
Calle de Deva,Q1611504,,residential,2
Calle de Diana,Q132543,,residential,2
Calle de Diego de León,Q3027464,,tertiary,12
Calle de Don Ramón de la Cruz,Q920042,,residential,6
Calle de Donoso Cortés,Q723141,,residential,1
Calle de Dulce Chacón,Q466820,,residential,7
Calle de Dúrcal,Q559839,,residential;service,2
Calle de Echegaray,Q15788209,,pedestrian;residential,3
Calle de Eduardo Barreiros,Q11681283,,residential;tertiary,24
Calle de Eduardo Benot,Q1290837,,residential,1
Calle de Eduardo Chillida,Q156736,,residential,8
Calle de Egea,Q817204,,residential,1
Calle de El Atazar,Q1772153,,residential,1
Calle de El Barraco,Q1618246,,residential,1
Calle de El Boalo,Q1772163,,residential,1
Calle de El Salvador,Q38366642,,residential,1
Calle de Elba,Q45328,,residential,2
Calle de Elizondo,Q3051309,,residential,4
Calle de Eloy Gonzalo,Q1245933,,tertiary,9
Calle de Embajadores,Q5740826,,residential,4
Calle de Emilio Carrere,Q266059,,residential,1
Calle de Emilio Ferrari,Q5831090,,pedestrian;residential,5
Calle de Enrique Azcoaga,Q5833054,,residential,1
Calle de Enrique Larreta,Q3054691,,tertiary,1
Calle de Enrique Urquijo,Q3054713,,residential;secondary,5
Calle de Ercilla,Q357620,,residential,4
Calle de Esparta,Q5690,,residential,4
Calle de Esparteros,Q29525561,,living_street,1
Calle de Espoz y Mina,Q5740830,,pedestrian,2
Calle de Espronceda,Q209077,,residential,1
Calle de Estanislao Figueras,Q553120,,residential,1
Calle de Esteban Terradas,Q4894155,,residential,1
Calle de Estella,Q646620,,residential,3
Calle de Estocolmo,Q1754,,residential;service,9
Calle de Estrellita Castro,Q127643,,residential,1
Calle de Estremera,Q1615876,,pedestrian;residential,2
Calle de Etreros,Q5850183,,residential,2
Calle de Etruria,Q206730,,residential,4
Calle de Eugenia de Montijo,Q157130,,primary;residential,10
Calle de Eugenio Sellés,Q5850584,,residential,1
Calle de Eunate,Q115941845,,residential,4
Calle de Evaristo San Miguel,Q3816067,,residential,2
Calle de Ezequiel Solana,Q8847218,,residential,6
Calle de Fantasía,Q943192,,footway;pedestrian,4
Calle de Feijoo,Q379753,,residential,2
Calle de Felipe III,Q34464,,pedestrian;residential,2
Calle de Felipe IV,Q691402,,residential;tertiary,7
Calle de Felipe V,Q170467,,pedestrian,1
Calle de Fenelón,Q310002,,residential;service,10
Calle de Ferenc Puskás,Q482931,,construction;residential,8
Calle de Fernando Chueca Goitia,Q322154,,residential,4
Calle de Fernando El Santo,Q243122,,residential,1
Calle de Fernando Poo,Q649556,,residential;service,2
Calle de Fernando de Rojas,Q353841,,residential,2
Calle de Fernando el Católico,Q12860,,residential,8
Calle de Fernanflor,Q5921192,,pedestrian,1
Calle de Fernán González,Q443034,,residential,1
Calle de Fernández Silvestre,Q3180734,,residential,1
Calle de Fernández de los Ríos,Q6173153,,residential,4
Calle de Ferraz,Q977583,,living_street;primary;residential;secondary,23
Calle de Finisterre,Q732090,,residential;service,10
Calle de Finlandia,Q33,,residential,3
Calle de Fitero,Q1773030,,residential,2
Calle de Florencio García,Q634073,,residential,1
Calle de Florestán Aguilar,Q55229402,,residential,2
Calle de Floridablanca,Q2287910,,service,1
Calle de Fortuny,Q380052,,residential,2
Calle de Fraga,Q904212,,residential,1
Calle de Francfort,Q1794,,residential,1
Calle de Francisca Moreno,Q21849637,,residential,1
Calle de Francisco Grande Covián,Q3753868,,living_street;residential,4
Calle de Francisco Largo Caballero,Q312040,,secondary,10
Calle de Francisco Silvela,Q1236383,,primary;residential,64
Calle de Francisco Villaespesa,Q717221,,residential;tertiary,23
